"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","createCourierWithMissingField(String, String, String) login=null, password=null","","Sun Apr 12 18:14:26 MSK 2026","passed","Sun Apr 12 18:14:26 MSK 2026","","tests.CreateCourierTest","tests.CreateCourierTest","createCourierWithMissingField"
"","749","authIncorrectCredential(int) case=0","","Sun Apr 12 18:14:27 MSK 2026","passed","Sun Apr 12 18:14:27 MSK 2026","","tests.LoginCourierTest","tests.LoginCourierTest","authIncorrectCredential"
"","168","checkCreateOrder(String[]) color=[BLACK, GREY]","","Sun Apr 12 18:14:12 MSK 2026","passed","Sun Apr 12 18:14:12 MSK 2026","","tests.CheckOrdersTest","tests.CheckOrdersTest","checkCreateOrder"
"","697","authIncorrectCredential(int) case=2","","Sun Apr 12 18:14:28 MSK 2026","passed","Sun Apr 12 18:14:29 MSK 2026","","tests.LoginCourierTest","tests.LoginCourierTest","authIncorrectCredential"
"","701","duplicateCourier()","","Sun Apr 12 18:14:24 MSK 2026","passed","Sun Apr 12 18:14:24 MSK 2026","","tests.CreateCourierTest","tests.CreateCourierTest","duplicateCourier"
"","313","createCourierWithMissingField(String, String, String) login=TestLogin, password=null","","Sun Apr 12 18:14:25 MSK 2026","passed","Sun Apr 12 18:14:26 MSK 2026","","tests.CreateCourierTest","tests.CreateCourierTest","createCourierWithMissingField"
"","11679","getOrdersListNotEmpty()","","Sun Apr 12 18:14:12 MSK 2026","passed","Sun Apr 12 18:14:24 MSK 2026","","tests.CheckOrdersTest","tests.CheckOrdersTest","getOrdersListNotEmpty"
"","682","successfulСreationCourier()","","Sun Apr 12 18:14:24 MSK 2026","passed","Sun Apr 12 18:14:25 MSK 2026","","tests.CreateCourierTest","tests.CreateCourierTest","successfulСreationCourier"
"","253","checkCreateOrder(String[]) color=[GREY]","","Sun Apr 12 18:14:11 MSK 2026","passed","Sun Apr 12 18:14:12 MSK 2026","","tests.CheckOrdersTest","tests.CheckOrdersTest","checkCreateOrder"
"","334","createCourierWithMissingField(String, String, String) login=null, password=TestPass","","Sun Apr 12 18:14:25 MSK 2026","passed","Sun Apr 12 18:14:25 MSK 2026","","tests.CreateCourierTest","tests.CreateCourierTest","createCourierWithMissingField"
"","4069","checkCreateOrder(String[]) color=[BLACK]","","Sun Apr 12 18:14:07 MSK 2026","passed","Sun Apr 12 18:14:11 MSK 2026","","tests.CheckOrdersTest","tests.CheckOrdersTest","checkCreateOrder"
"","714","loginWithMissingField(String, String, String) login=null, password=TestPass","","Sun Apr 12 18:14:29 MSK 2026","passed","Sun Apr 12 18:14:30 MSK 2026","","tests.LoginCourierTest","tests.LoginCourierTest","loginWithMissingField"
"","167","checkCreateOrder(String[]) color=[]","","Sun Apr 12 18:14:12 MSK 2026","passed","Sun Apr 12 18:14:12 MSK 2026","","tests.CheckOrdersTest","tests.CheckOrdersTest","checkCreateOrder"
"","678","correctLogin()","","Sun Apr 12 18:14:26 MSK 2026","passed","Sun Apr 12 18:14:27 MSK 2026","","tests.LoginCourierTest","tests.LoginCourierTest","correctLogin"
"","60779","loginWithMissingField(String, String, String) login=TestLogin, password=null","","Sun Apr 12 18:14:30 MSK 2026","failed","Sun Apr 12 18:15:30 MSK 2026","","tests.LoginCourierTest","tests.LoginCourierTest","loginWithMissingField"
"","601","authIncorrectCredential(int) case=1","","Sun Apr 12 18:14:27 MSK 2026","passed","Sun Apr 12 18:14:28 MSK 2026","","tests.LoginCourierTest","tests.LoginCourierTest","authIncorrectCredential"
